"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","FQ2IWe src","doJOZc","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7"
"https://www.google.com/maps/place/Tho+ra+nit+na+rue+mit+Park/data=!4m7!3m6!1s0x313c3708b76abc87:0xe5804f6184c406ad!8m2!3d16.9236152!4d104.7175242!16s%2Fg%2F11g23qw8zd!19sChIJh7xqtwg3PDERrQbEhGFPgOU?authuser=0&hl=en&rclk=1","Tho ra nit na rue mit Park","4.6","(11)","สวน","·","WPF9+C2R","https://lh5.googleusercontent.com/p/AF1QipM78ZJnS0XP-ecsIhAZtpeFrIGDptshKQxpcEZN=w122-h92-k-no","","","","",""
"https://www.google.com/maps/place/Wat+Phrathat+Mahachai/data=!4m7!3m6!1s0x313c659ce2483a0f:0xa9e0dea7dbf94719!8m2!3d17.2787161!4d104.4590019!16s%2Fg%2F1tfyb19w!19sChIJDzpI4pxlPDERGUf526fe4Kk?authuser=0&hl=en&rclk=1","Wat Phrathat Mahachai","4.6","(888)","สถานที่ท่องเที่ยว","·","·","https://lh5.googleusercontent.com/p/AF1QipOc2PWvD1FOddoVYLJO_6IPc_vov28JDlrbML8_=w127-h92-k-no","","7FH5+FJJ","Closed","","⋅ Opens 8 AM"
"https://www.google.com/maps/place/%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%A2/data=!4m7!3m6!1s0x313c8f937997ed9b:0xb7fcc7fad213d27e!8m2!3d17.2617375!4d104.1573539!16s%2Fg%2F11h6lz47y9!19sChIJm-2XeZOPPDERftIT0vrH_Lc?authuser=0&hl=en&rclk=1","หนองหารน้อย","4.4","(10)","สถานที่ท่องเที่ยว","·","7564+MWX","https://lh5.googleusercontent.com/p/AF1QipOyv7stJatyHL3anwoD_H1fY1MNEKgB6NQ9Grp9=w80-h106-k-no","","","","",""
"https://www.google.com/maps/place/Wat+Phra+Klang+Thung/data=!4m7!3m6!1s0x313c39a3daeea1fb:0x1bbeb173ac85f654!8m2!3d16.9764762!4d104.7258093!16s%2Fg%2F1tj_2qsh!19sChIJ-6Hu2qM5PDERVPaFrHOxvhs?authuser=0&hl=en&rclk=1","Wat Phra Klang Thung","4.6","(19)","สถานที่ท่องเที่ยว","·","วัดพระกลางทุ่ง","https://lh5.googleusercontent.com/p/AF1QipM7D6KbFEZdOA3maC0vyciL20-jvFvOHkzaRUhN=w80-h106-k-no","","","","",""
"https://www.google.com/maps/place/%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%9E%E0%B9%81%E0%B8%A5%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%81%E0%B9%88%E0%B8%B3%E0%B8%9A%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%87+@+%E0%B8%94%E0%B8%87%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%A1/data=!4m7!3m6!1s0x313c3776250b3a21:0x832138694ba44af7!8m2!3d16.9383784!4d104.6863738!16s%2Fg%2F11qbr3v46j!19sChIJIToLJXY3PDER90qkS2k4IYM?authuser=0&hl=en&rclk=1","ล่องแพแลน้ำก่ำบุ่งด้วง @ ดงคราม","5.0","(1)","สถานที่ท่องเที่ยว","·","หมู่ 12 บ้านดงคราม","https://lh5.googleusercontent.com/p/AF1QipNoSp-qkgiVtr44e9J8K4JeXnSadII4D62d7UU5=w80-h106-k-no","","","Closed","","⋅ Opens 9 AM"
"https://www.google.com/maps/place/%E0%B9%84%E0%B8%AD%E0%B8%97%E0%B8%B5%E0%B9%82%E0%B8%8B%E0%B8%99/data=!4m7!3m6!1s0x313c4f8c2d0d5c8d:0x6869cdd9461b675d!8m2!3d16.9466083!4d104.5008155!16s%2Fg%2F1pzpt86qf!19sChIJjVwNLYxPPDERXWcbRtnNaWg?authuser=0&hl=en&rclk=1","ไอทีโซน","5.0","(1)","สถานที่ท่องเที่ยว","·","646 หมู่ที่ 4, ถนนธาตุพนม-นาแก, ตำบลนาแก อำเภอนาแก จังหวัดนครพนม, 48130","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Lrhc1mI9LNzZkNd38_9S-g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=201.18652&pitch=0&thumbfov=100","","","","",""
"https://www.google.com/maps/place/Nakhon+Phanom+River+Walk/data=!4m7!3m6!1s0x313c092e347b7895:0x1d25bf5043996748!8m2!3d17.4042845!4d104.7881415!16s%2Fg%2F11c58t2mh7!19sChIJlXh7NC4JPDERSGeZQ1C_JR0?authuser=0&hl=en&rclk=1","Nakhon Phanom River Walk","4.5","(81)","สถานที่ท่องเที่ยว","·","·","https://lh5.googleusercontent.com/p/AF1QipPCePS3K0nv17kkcpBwQK5MO4s0kU4uQoj51Tq4=w122-h92-k-no","","CQ3Q+P76 ทางหลวงจังหวัด นครพนม-มุกดาหาร","","",""
"https://www.google.com/maps/place/%E0%B8%88%E0%B8%B8%E0%B8%94%E0%B8%8A%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%A7%E0%B8%A5%E0%B8%B2%E0%B8%99%E0%B8%AB%E0%B8%B4%E0%B8%99%E0%B8%9C%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%89%E0%B8%B2+%28%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%82%E0%B8%B6%E0%B9%89%E0%B8%99%E0%B8%AD%E0%B8%A2%E0%B8%B9%E0%B9%88%E0%B8%9D%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B9%81%E0%B8%81%29/data=!4m7!3m6!1s0x313c57b9e9723e01:0xf3f24fa38298297!8m2!3d16.9349337!4d104.3139599!16s%2Fg%2F11hc9g3k8d!19sChIJAT5y6blXPDERl4IpOPokPw8?authuser=0&hl=en&rclk=1","จุดชมวิวลานหินผาเป้า (ทางขึ้นอยู่ฝั่งนาแก)","4.9","(36)","สถานที่ท่องเที่ยว","·","W8M7+XHG","https://lh5.googleusercontent.com/p/AF1QipNfLmoZ-P63lniU6YLA6SWpkGv5iezGEn2xpYpA=w138-h92-k-no","","","","",""
"https://www.google.com/maps/place/Wat+Phra+That+Phanom/data=!4m7!3m6!1s0x313c394b43ca4197:0xd9bdfea6ba798595!8m2!3d16.9434959!4d104.7261803!16s%2Fg%2F11sqd1ncb6!19sChIJl0HKQ0s5PDERlYV5uqb-vdk?authuser=0&hl=en&rclk=1","Wat Phra That Phanom","4.8","(85)","วัด","·","·","https://lh5.googleusercontent.com/p/AF1QipOJZdYLk0HIcepN5-VT-NQq_lOT2jSSwmUhwB8=w80-h177-k-no","","WPVG+9FV","Closed","","⋅ Opens 6 AM"
"https://www.google.com/maps/place/Wat+That+Renu/data=!4m7!3m6!1s0x313c3f5bd81924a1:0x5e0963dba66c4244!8m2!3d17.0474156!4d104.6765586!16s%2Fg%2F1hc4tq2b4!19sChIJoSQZ2Fs_PDERREJspttjCV4?authuser=0&hl=en&rclk=1","Wat That Renu","4.7","(3,258)","สถานที่ท่องเที่ยว","·","·","https://lh5.googleusercontent.com/p/AF1QipMFGsi_Gdka-4FhcP6tAjGONp6PDJdhcYyLe5Ok=w80-h106-k-no","","59 ถนน แก้วโกมล","Closed","","⋅ Opens 5 AM"
