name,description,location,latitude,longitude,category,service_option1,service_option2
MILK SIX,4.4,https://lh5.googleusercontent.com/p/AF1QipNIL1tQj49e8-Guo88ilKE1lF6mC_45gxTIlXOi=w175-h92-k-no,16.9385907,104.7240321,·,·,Takeaway
"Khanom Jeen Nong Kaem Ban Tong: Fresh, Chewy Soft Noodles, Until 5.30 PM",4.5,https://lh5.googleusercontent.com/p/AF1QipON5qwk18UGD3DDQPdBHmJEL6Bt8TIexTIn05Wj=w122-h92-k-no,16.9219603,104.680453,·,·,Takeaway
ร้านข้าวปุ้นยายลี,4.0,https://lh5.googleusercontent.com/p/AF1QipPBd5f7YjdT7ma39Pf5p8JTk-5gqnGWpNrS_k-Y=w80-h106-k-no,16.9526093,104.7225594,·,·,Drive-through
ลุงหนวดกุ้งเผา,4.4,https://lh5.googleusercontent.com/p/AF1QipNtWeau3JfDRLk9DseiEelAGrvqiKDvTofD3irA=w80-h106-k-no,16.9202192,104.6804368,,,
Pak Mo Vietnam,4.5,https://lh5.googleusercontent.com/p/AF1QipPiZMKuNZjnSbMpFvCoLj5Qn_a7gL6f8uuWKBvr=w163-h92-k-no,16.9432967,104.7278099,·,·,Takeaway
อ๋อย ข้าวแกงปักษ์ใต้ อาหารตามสั่ง,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mNVMPktFZait2GBAosjWrg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=63.023987&pitch=0&thumbfov=100,16.941774,104.7262716,·,,
มาหาไรริมบึง ธาตุพนม,3.0,https://lh5.googleusercontent.com/p/AF1QipMxUBeCw5Mh4exEnO-hhM2-FY1MKuyd1wYOFSiN=w122-h92-k-no,16.946449,104.7276737,·,·,Takeaway
สามกอ ก๋วยเตี๋ยวเรือเนื้อโคขุน,4.3,https://lh5.googleusercontent.com/p/AF1QipPa5X6T4ZMqBHg7M1MUKiF6u51EA5BUxUSr6l7K=w122-h92-k-no,16.9520935,104.7255579,·,·,Takeaway
เนื้อตุ๋นธาตุพนม,,https://lh5.googleusercontent.com/p/AF1QipPEz9X8X_S-3m9FTD5ZA6h8Sd6yzEVWNzpj0jIz=w122-h92-k-no,16.9447064,104.7229259,·,·,Takeaway
ร้านนายน้อยสวนสุภาพ,2.0,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,16.945977,104.722881,·,·,Takeaway
