name,description,location,latitude,longitude,category,service_option1,service_option2
สวนริมเขื่อน,3.0,https://lh5.googleusercontent.com/p/AF1QipNB4vpyffjEKpXm2eWcg1r1Reg7Bhkvbu7zNlnX=w80-h106-k-no,16.9314417,104.719745,·,·,Takeaway
เมธาฟาร์มปลา,5.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AlS3YvboOki_Nvl5yxg76Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=204.9525&pitch=0&thumbfov=100,16.9211466,104.6920128,·,·,Takeaway
"Chomkhong Riverview Restaurant: Good Food, Great View",4.1,https://lh5.googleusercontent.com/p/AF1QipPe93us-O1UdGjOMsvjMg33loKqQLmyMWmLW6wp=w122-h92-k-no,16.9380725,104.7290142,·,·,Takeaway
ร้านอาหารตามสั่ง,5.0,https://lh5.googleusercontent.com/p/AF1QipMYG_1DOVvRN_unp0eb6yWviEMBFfFMw6Q9hQ5g=w80-h106-k-no,16.9485383,104.7251806,·,·,Takeaway
แจ่วฮ้อน & อย่างเนย อนอัว,5.0,https://lh5.googleusercontent.com/p/AF1QipMYGrbPsCKYschmemkgTHEDaX9sqv0CcYt1eOIQ=w122-h92-k-no,16.9503283,104.726233,·,·,Drive-through
สุกี้สึนามิ สาขาธาตุพนม,4.8,https://lh5.googleusercontent.com/p/AF1QipNDl3loROrvMUnLj_RSmwoqAKYLtDlaToM2Q03Y=w80-h106-k-no,16.941815,104.728047,·,·,Takeaway
Mae Nom's Kitchen,4.4,https://lh5.googleusercontent.com/p/AF1QipP0U-qhtXEjLDnmdUSGv8csA70GDuT2yc4Bt-6d=w122-h92-k-no,16.9531003,104.7255392,·,·,Kerbside pickup
"Sweet Home Restaurant, That Phanom Town",4.2,https://lh5.googleusercontent.com/p/AF1QipO2ZGLVzOFs_ZbRzAXUnCjio6gsjQKfrbLYCLZE=w122-h92-k-no,16.9262088,104.6819771,·,·,Takeaway
Fad Rim Khong Restaurant,3.7,https://lh5.googleusercontent.com/p/AF1QipPCvhT4rmOV5QZAUiFyY5E7dA4Dbnx7Yjpwp4wM=w163-h92-k-no,16.9400648,104.7291664,,·,Takeaway
ร้านไส้หมู สู้ไหม,5.0,https://lh5.googleusercontent.com/p/AF1QipOkZrd4dakRw7oRuyOBoXq9633UeMTfvsiyWbeY=w122-h92-k-no,16.9468933,104.7126869,·,·,Drive-through
อร่ามกุ้งเผา,4.3,https://lh5.googleusercontent.com/p/AF1QipMqPgn8PReRBiTGi1e8d_iIS-gjthZzskl8Z_mO=w80-h106-k-no,16.9241695,104.686109,·,·,Takeaway
